timestamp_epoch_s,VNYMR,SensorID,MCUtime,Yaw,Pitch,Roll,MagX,MagY,MagZ,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
1764267056.696355,$VNYMR,3,250614538,0,0,0,-0.236,-0.229,-0.411,-0.030,-0.220,9.630,0.000,-0.051,0.015
1764267056.751147,$VNYMR,1,250668955,0,0,0,-0.061,-0.167,-0.426,-1.682,3.352,9.251,0.065,-0.005,-0.002
1764267056.8052113,$VNYMR,2,250723735,0,0,0,0.475,-0.626,-0.638,0.085,-0.525,10.144,0.005,-0.019,-0.003
1764267056.8625782,$VNYMR,3,250780537,0,0,0,-0.229,-0.225,-0.427,0.120,-0.520,9.550,-0.013,-0.012,-0.002
1764267056.9171288,$VNYMR,1,250835168,0,0,0,-0.062,-0.166,-0.425,-1.738,3.235,9.246,0.020,0.015,-0.011
1764267056.9718478,$VNYMR,2,250890371,0,0,0,0.467,-0.628,-0.637,0.035,-0.547,10.086,-0.012,-0.016,0.007
1764267057.0290673,$VNYMR,3,250947054,0,0,0,-0.229,-0.204,-0.419,0.070,-0.640,9.510,-0.002,-0.003,0.003
1764267057.0838413,$VNYMR,1,251001632,0,0,0,-0.069,-0.170,-0.424,-1.834,3.197,9.266,0.015,0.013,-0.019
1764267057.1381662,$VNYMR,2,251056426,0,0,0,0.470,-0.626,-0.600,0.089,-0.492,10.030,-0.011,-0.012,0.003
1764267057.1936727,$VNYMR,3,251113601,0,0,0,-0.229,-0.222,-0.434,0.140,-0.490,9.440,0.005,0.011,0.003
1764267057.2474716,$VNYMR,1,251166879,0,0,0,-0.063,-0.170,-0.427,-1.738,3.196,9.250,-0.016,0.021,-0.026
1764267057.301271,$VNYMR,2,251220159,0,0,0,0.471,-0.622,-0.636,0.071,-0.667,9.956,-0.034,-0.038,-0.002
1764267057.3577595,$VNYMR,3,251277482,0,0,0,-0.232,-0.222,-0.414,0.070,-0.580,9.390,-0.019,0.028,0.003
1764267057.417371,$VNYMR,1,251335044,0,0,0,-0.061,-0.160,-0.429,-1.694,3.066,9.171,-0.101,0.105,-0.045
1764267057.4718962,$VNYMR,2,251389951,0,0,0,0.474,-0.616,-0.646,-0.056,-0.702,10.137,-0.099,0.078,0.005
1764267057.5290997,$VNYMR,3,251447103,0,0,0,-0.232,-0.210,-0.414,-0.100,-0.740,9.600,-0.108,0.058,0.003
1764267057.5835817,$VNYMR,1,251501692,0,0,0,-0.055,-0.163,-0.434,-1.700,2.768,9.151,0.020,-0.014,-0.007
1764267057.6383455,$VNYMR,2,251556773,0,0,0,0.478,-0.615,-0.601,-0.115,-0.732,10.292,0.028,-0.017,0.009
1764267057.6940484,$VNYMR,3,251613604,0,0,0,-0.222,-0.204,-0.431,-0.100,-0.840,9.660,0.009,-0.004,0.001
1764267057.7489388,$VNYMR,1,251666847,0,0,0,-0.056,-0.160,-0.430,-1.802,3.014,9.174,-0.019,0.024,-0.018
1764267057.8025827,$VNYMR,2,251721806,0,0,0,0.472,-0.617,-0.646,-0.111,-0.797,10.113,-0.024,0.001,0.039
1764267057.8588002,$VNYMR,3,251777846,0,0,0,-0.222,-0.214,-0.419,-0.070,-0.880,9.600,-0.004,-0.001,0.001
1764267057.9135795,$VNYMR,1,251831403,0,0,0,-0.053,-0.155,-0.431,-1.787,3.097,9.336,0.054,-0.002,-0.038
1764267057.9682379,$VNYMR,2,251886125,0,0,0,0.472,-0.616,-0.631,-0.118,-0.753,10.162,-0.004,-0.004,0.003
1764267058.0252023,$VNYMR,3,251943358,0,0,0,-0.229,-0.222,-0.422,-0.040,-0.760,9.670,-0.023,-0.007,0.001
1764267058.07862,$VNYMR,1,251997752,0,0,0,-0.051,-0.169,-0.430,-3.876,0.840,9.731,-1.031,0.905,-0.267
1764267058.133445,$VNYMR,2,252051292,0,0,0,0.439,-0.678,-0.610,-0.581,-0.963,10.229,-0.016,0.031,0.067
1764267058.1903365,$VNYMR,3,252108540,0,0,0,-0.147,-0.181,-0.407,-0.160,-0.900,9.610,-0.010,-0.007,-0.005
1764267058.2446957,$VNYMR,1,252162937,0,0,0,-0.053,-0.213,-0.425,-1.819,3.089,9.324,0.056,-0.016,0.005
1764267058.2985587,$VNYMR,2,252217278,0,0,0,0.442,-0.678,-0.616,-0.115,-0.799,10.023,0.002,-0.019,-0.001
1764267058.3555772,$VNYMR,3,252274628,0,0,0,-0.147,-0.189,-0.391,-0.130,-0.810,9.670,0.013,0.002,-0.003
1764267058.4096243,$VNYMR,1,252328168,0,0,0,-0.053,-0.174,-0.423,-1.850,2.951,8.888,0.011,-0.037,0.002
1764267058.4641063,$VNYMR,2,252382197,0,0,0,0.442,-0.675,-0.612,-0.075,-0.722,10.336,0.006,-0.014,-0.002
1764267058.5212176,$VNYMR,3,252439302,0,0,0,-0.144,-0.196,-0.402,0.000,-0.760,9.790,-0.016,0.015,0.003
1764267058.5745826,$VNYMR,1,252493756,0,0,0,-0.062,-0.168,-0.430,-2.222,2.477,9.388,-0.145,0.277,0.090
1764267058.6288705,$VNYMR,2,252547132,0,0,0,0.473,-0.640,-0.630,-0.251,-0.494,10.710,0.057,0.003,-0.024
1764267058.6870458,$VNYMR,3,252604224,0,0,0,-0.149,-0.191,-0.399,-0.310,-1.780,9.580,-0.053,0.037,-0.184
1764267058.7407124,$VNYMR,1,252659628,0,0,0,-0.064,-0.085,-0.441,-3.516,3.066,10.191,-0.968,0.406,-0.035
1764267058.795252,$VNYMR,2,252713289,0,0,0,0.364,-0.244,-0.784,-0.821,-2.592,10.440,-1.041,-0.614,-0.112
1764267058.8530526,$VNYMR,3,252770446,0,0,0,-0.233,-0.141,-0.603,-0.170,-2.420,9.680,-1.292,-0.532,-0.023
1764267058.9066043,$VNYMR,1,252825631,0,0,0,-0.175,0.073,-0.425,-2.214,1.082,9.894,-0.821,-0.202,-0.072
1764267058.9608867,$VNYMR,2,252879185,0,0,0,0.063,-0.021,-0.552,0.433,-3.056,10.059,-1.151,-0.298,0.385
1764267059.0179033,$VNYMR,3,252936372,0,0,0,0.018,0.072,-0.661,0.350,-1.540,9.400,-1.112,-0.110,0.657
1764267059.071887,$VNYMR,1,252990505,0,0,0,-0.257,0.181,-0.460,-2.293,-1.487,10.821,-1.864,-0.431,0.181
1764267059.1255596,$VNYMR,2,253044466,0,0,0,-0.074,0.075,-0.458,0.450,-6.287,8.748,-1.676,-1.332,0.487
1764267059.1825805,$VNYMR,3,253100650,0,0,0,0.083,0.138,-0.540,0.190,-6.540,9.360,-2.763,-1.815,0.607
1764267059.2379067,$VNYMR,1,253155170,0,0,0,-0.406,0.391,-0.488,2.005,-4.256,8.896,-2.713,-1.740,0.237
1764267059.2917368,$VNYMR,2,253210500,0,0,0,-0.222,0.277,-0.331,2.001,-7.295,3.274,-2.815,-1.823,0.696
1764267059.3485334,$VNYMR,3,253266942,0,0,0,-0.056,0.350,-0.369,2.360,-7.860,1.840,-2.272,-1.757,0.194
1764267059.4024963,$VNYMR,1,253321127,0,0,0,-0.526,0.569,-0.414,2.703,-7.787,5.368,-1.909,-1.902,0.025
1764267059.4571078,$VNYMR,2,253375269,0,0,0,-0.366,0.280,-0.262,2.847,-7.338,4.247,2.537,-2.286,-2.160
1764267059.513392,$VNYMR,3,253432227,0,0,0,-0.174,0.404,-0.252,1.940,-5.890,3.270,4.403,-2.601,-1.385
1764267059.5716023,$VNYMR,1,253490045,0,0,0,-0.691,0.289,-0.442,3.781,-2.649,7.730,4.990,-1.861,-0.479
1764267059.624753,$VNYMR,2,253544182,0,0,0,-0.463,-0.097,-0.364,7.506,-6.351,5.119,5.004,0.052,-1.777
1764267059.6811368,$VNYMR,3,253599831,0,0,0,-0.322,0.142,-0.333,4.940,-5.410,3.770,5.444,0.632,-1.475
1764267059.736235,$VNYMR,1,253653680,0,0,0,-0.677,-0.118,-0.114,3.254,3.292,5.756,5.004,1.279,-1.314
1764267059.790161,$VNYMR,2,253708805,0,0,0,-0.387,-0.435,-0.179,5.776,5.386,5.469,2.481,-0.669,0.299
1764267059.8472698,$VNYMR,3,253765803,0,0,0,-0.257,-0.357,-0.199,7.480,5.760,4.000,-0.724,-0.613,0.966
1764267059.9010944,$VNYMR,1,253819853,0,0,0,-0.724,-0.116,-0.077,4.701,4.716,6.329,0.027,-0.358,-0.142
1764267059.9562075,$VNYMR,2,253874282,0,0,0,-0.385,-0.464,-0.079,5.477,2.169,8.759,1.898,0.446,-1.036
1764267060.0130968,$VNYMR,3,253931541,0,0,0,-0.287,-0.373,-0.187,5.770,1.410,9.050,6.121,-0.061,-1.551
1764267060.0681443,$VNYMR,1,253985684,0,0,0,-0.581,-0.130,0.284,-4.045,8.270,0.103,-2.501,4.078,-5.004
1764267060.121614,$VNYMR,2,254040720,0,0,0,-0.315,-0.514,0.148,4.890,7.394,1.360,2.982,0.300,-0.232
1764267060.178102,$VNYMR,3,254097002,0,0,0,-0.192,-0.470,0.069,5.020,7.380,1.180,1.446,-0.105,-0.292
1764267060.2329934,$VNYMR,1,254150657,0,0,0,-0.565,-0.043,0.353,2.019,6.013,-2.419,-2.323,1.893,0.501
1764267060.2862062,$VNYMR,2,254205564,0,0,0,-0.271,-0.507,0.226,4.323,8.556,1.088,1.888,-0.332,-0.581
1764267060.3423336,$VNYMR,3,254261322,0,0,0,-0.142,-0.442,0.199,4.220,7.870,0.710,2.344,-0.202,-0.619
1764267060.3951821,$VNYMR,1,254314876,0,0,0,-0.552,0.129,0.470,2.384,6.566,-5.969,2.807,0.376,-0.358
1764267060.4502208,$VNYMR,2,254368603,0,0,0,-0.189,-0.432,0.367,1.906,8.172,-1.317,0.739,0.440,-0.858
1764267060.5075753,$VNYMR,3,254425344,0,0,0,-0.097,-0.387,0.314,2.350,7.800,-2.910,2.682,0.385,-1.065
1764267060.5613832,$VNYMR,1,254480183,0,0,0,-0.548,0.240,0.496,1.426,5.579,-9.761,1.439,-1.357,0.163
1764267060.6158266,$VNYMR,2,254534151,0,0,0,-0.180,-0.342,0.416,0.460,10.092,-8.499,-0.185,-0.236,0.054
