timestamp_epoch_s,VNYMR,SensorID,MCUtime,Yaw,Pitch,Roll,MagX,MagY,MagZ,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
1764266932.2310498,$VNYMR,1,126149557,0,0,0,0.000,0.005,0.039,-0.275,-0.531,10.036,0.021,0.018,-0.000
1764266932.284935,$VNYMR,2,126204286,0,0,0,0.016,-1.487,-0.866,-0.295,-0.885,10.169,-0.006,-0.022,-0.004
1764266932.3422835,$VNYMR,3,126261615,0,0,0,0.106,-0.027,-0.574,0.140,-0.330,9.760,-0.007,-0.015,-0.002
1764266932.3824122,$VNYMR,1,126300761,0,0,0,0.000,0.005,0.039,-0.205,-0.315,9.810,0.018,0.013,-0.010
1764266932.4368918,$VNYMR,2,126355552,0,0,0,0.019,-1.491,-0.896,-0.298,-0.957,10.103,-0.007,-0.011,0.004
1764266932.4941118,$VNYMR,3,126412553,0,0,0,0.102,-0.032,-0.558,0.090,-0.500,9.770,-0.003,-0.001,-0.001
1764266932.5343983,$VNYMR,1,126452533,0,0,0,0.000,0.005,0.039,-0.217,-0.462,9.929,0.020,0.008,-0.008
1764266932.5882466,$VNYMR,2,126507550,0,0,0,0.025,-1.496,-0.893,-0.276,-1.007,9.963,-0.008,-0.008,-0.001
1764266932.644561,$VNYMR,3,126563915,0,0,0,0.102,-0.025,-0.570,0.160,-0.480,9.750,-0.005,-0.003,0.001
1764266932.6829839,$VNYMR,1,126602941,0,0,0,0.000,0.005,0.039,-0.171,-0.473,9.848,0.018,0.009,-0.011
1764266932.7368956,$VNYMR,2,126656089,0,0,0,0.011,-1.497,-0.898,-0.234,-0.979,10.070,-0.010,0.038,0.003
1764266932.7927377,$VNYMR,3,126712705,0,0,0,0.096,-0.036,-0.570,0.170,-0.490,9.750,0.008,0.010,-0.002
1764266932.8329175,$VNYMR,1,126751144,0,0,0,0.000,0.005,0.039,-0.403,-0.446,9.916,0.023,0.015,-0.016
1764266932.8876922,$VNYMR,2,126806069,0,0,0,0.015,-1.485,-0.897,-0.440,-0.937,10.156,-0.006,-0.011,0.005
1764266932.945536,$VNYMR,3,126863469,0,0,0,0.096,-0.039,-0.566,0.010,-0.480,9.830,0.001,-0.014,0.004
1764266932.984432,$VNYMR,1,126904076,0,0,0,0.000,0.005,0.039,-0.129,-0.474,9.886,0.017,0.002,-0.011
1764266933.0393825,$VNYMR,2,126958552,0,0,0,0.013,-1.487,-0.893,-0.111,-0.971,10.091,-0.004,-0.009,-0.039
1764266933.097324,$VNYMR,3,127015850,0,0,0,0.099,-0.027,-0.574,0.220,-0.480,9.730,0.008,0.000,-0.002
1764266933.1368148,$VNYMR,1,127055986,0,0,0,0.000,0.005,0.039,-0.333,-0.505,9.909,0.019,0.015,-0.013
1764266933.190185,$VNYMR,2,127109897,0,0,0,0.016,-1.492,-0.898,-0.355,-0.956,10.076,-0.008,-0.011,0.004
1764266933.248031,$VNYMR,3,127166412,0,0,0,0.099,-0.027,-0.574,0.060,-0.490,9.710,0.000,-0.004,0.003
1764266933.2879236,$VNYMR,1,127206531,0,0,0,0.000,0.005,0.039,-0.209,-0.505,9.891,0.021,0.004,-0.009
1764266933.3417804,$VNYMR,2,127261046,0,0,0,0.014,-1.487,-0.893,-0.242,-0.982,10.064,-0.005,-0.010,-0.000
1764266933.3994153,$VNYMR,3,127317806,0,0,0,0.092,-0.027,-0.562,0.160,-0.500,9.710,0.004,0.002,-0.001
1764266933.4392378,$VNYMR,1,127357842,0,0,0,0.000,0.005,0.039,-0.272,-0.474,9.923,0.023,0.006,-0.013
1764266933.4930525,$VNYMR,2,127412364,0,0,0,0.013,-1.487,-0.893,-0.297,-0.964,10.062,-0.007,-0.010,-0.038
1764266933.549837,$VNYMR,3,127468985,0,0,0,0.096,-0.032,-0.582,0.130,-0.480,9.730,0.007,-0.002,0.001
1764266933.588871,$VNYMR,1,127508253,0,0,0,0.000,0.005,0.039,-0.197,-0.498,9.887,0.019,0.006,-0.010
1764266933.6427438,$VNYMR,2,127561961,0,0,0,0.016,-1.485,-0.876,-0.254,-1.004,10.097,-0.005,-0.008,0.001
1764266933.700587,$VNYMR,3,127619253,0,0,0,0.099,-0.032,-0.562,0.130,-0.490,9.730,0.003,0.000,0.001
1764266933.745467,$VNYMR,1,127664343,0,0,0,0.000,0.005,0.039,-0.263,-0.489,9.864,0.019,0.007,-0.007
1764266933.8003209,$VNYMR,2,127718884,0,0,0,0.019,-1.494,-0.898,-0.437,-0.942,10.084,-0.009,-0.006,0.011
1764266933.8571703,$VNYMR,3,127776170,0,0,0,0.102,-0.039,-0.558,0.090,-0.450,9.730,-0.008,0.000,0.012
1764266933.8979945,$VNYMR,1,127816595,0,0,0,0.000,0.005,0.039,-0.213,-0.610,9.870,0.020,0.012,-0.009
1764266933.9517868,$VNYMR,2,127871144,0,0,0,0.012,-1.497,-0.875,-0.218,-0.949,10.119,-0.001,-0.010,0.006
1764266934.0093024,$VNYMR,3,127927612,0,0,0,0.096,-0.032,-0.574,0.140,-0.510,9.810,0.004,-0.004,0.003
1764266934.0492153,$VNYMR,1,127967730,0,0,0,0.000,0.005,0.039,-0.182,-0.513,9.840,0.017,0.009,-0.015
1764266934.103488,$VNYMR,2,128022341,0,0,0,0.007,-1.496,-0.879,-0.297,-0.989,10.062,-0.009,-0.001,0.004
1764266934.1606615,$VNYMR,3,128079094,0,0,0,0.099,-0.027,-0.562,0.050,-0.460,9.720,-0.002,0.013,0.002
1764266934.1995566,$VNYMR,1,128119349,0,0,0,0.000,0.005,0.039,-0.275,-0.464,9.916,0.020,-0.005,-0.012
1764266934.2554076,$VNYMR,2,128173574,0,0,0,0.003,-1.491,-0.872,-0.233,-0.986,10.045,-0.010,-0.018,0.000
1764266934.3134558,$VNYMR,3,128231663,0,0,0,0.099,-0.032,-0.570,0.150,-0.530,9.670,-0.004,-0.001,-0.002
1764266934.3518221,$VNYMR,1,128271861,0,0,0,0.000,0.005,0.039,-0.246,-0.498,9.901,0.025,0.009,-0.010
1764266934.4058106,$VNYMR,2,128325026,0,0,0,0.010,-1.496,-0.898,-0.447,-0.924,10.071,0.039,-0.011,-0.001
1764266934.4626076,$VNYMR,3,128381547,0,0,0,0.099,-0.032,-0.566,0.100,-0.480,9.790,-0.002,0.003,-0.001
1764266934.5027015,$VNYMR,1,128421760,0,0,0,0.000,0.005,0.039,-0.261,-0.473,9.869,0.021,0.004,-0.010
1764266934.5575166,$VNYMR,2,128475794,0,0,0,0.009,-1.482,-0.898,-0.208,-0.948,10.086,-0.002,-0.013,0.002
1764266934.6132567,$VNYMR,3,128533222,0,0,0,0.099,-0.032,-0.558,0.130,-0.480,9.770,0.001,0.002,-0.002
1764266934.6522691,$VNYMR,1,128571635,0,0,0,0.000,0.005,0.039,-0.275,-0.505,9.868,0.020,0.009,-0.011
1764266934.7057467,$VNYMR,2,128625356,0,0,0,0.009,-1.496,-0.897,-0.167,-0.943,10.105,-0.008,-0.004,0.002
1764266934.7627366,$VNYMR,3,128681467,0,0,0,0.099,-0.027,-0.566,0.100,-0.480,9.780,-0.002,0.000,0.001
1764266934.8036277,$VNYMR,1,128721933,0,0,0,0.000,0.005,0.039,-0.215,-0.483,9.884,0.020,0.007,-0.012
1764266934.8584807,$VNYMR,2,128776812,0,0,0,0.010,-1.485,-0.896,-0.294,-0.985,10.127,-0.004,-0.010,0.002
1764266934.9163234,$VNYMR,3,128834318,0,0,0,0.096,-0.036,-0.574,0.100,-0.490,9.760,-0.002,0.000,0.001
1764266934.9555888,$VNYMR,1,128874743,0,0,0,0.000,0.005,0.039,-0.223,-0.472,9.907,0.022,0.005,-0.012
1764266935.0094666,$VNYMR,2,128928729,0,0,0,0.019,-1.487,-0.898,-0.269,-0.965,10.111,-0.006,-0.009,0.003
1764266935.0676954,$VNYMR,3,128985533,0,0,0,0.092,-0.032,-0.554,0.100,-0.490,9.770,0.002,0.000,-0.001
1764266935.107525,$VNYMR,1,129026117,0,0,0,0.000,0.005,0.039,-0.244,-0.495,9.908,0.019,0.008,-0.011
1764266935.1606257,$VNYMR,2,129080606,0,0,0,0.019,-1.483,-0.853,-0.306,-0.970,10.117,-0.005,-0.006,0.002
1764266935.2185826,$VNYMR,3,129136322,0,0,0,0.102,-0.032,-0.558,0.120,-0.490,9.810,0.001,-0.002,0.000
1764266935.2586968,$VNYMR,1,129177003,0,0,0,0.000,0.005,0.039,-0.224,-0.492,9.924,0.022,0.009,-0.011
1764266935.3128116,$VNYMR,2,129232379,0,0,0,0.015,-1.488,-0.898,-0.276,-0.974,10.239,-0.004,-0.009,-0.036
1764266935.3688965,$VNYMR,3,129288465,0,0,0,0.106,-0.032,-0.558,0.100,-0.490,9.780,0.000,-0.004,-0.002
1764266935.4093351,$VNYMR,1,129327972,0,0,0,0.000,0.005,0.039,-0.224,-0.592,9.901,0.022,0.008,-0.012
1764266935.463541,$VNYMR,2,129382439,0,0,0,0.013,-1.497,-0.897,-0.271,-0.987,9.969,-0.006,-0.010,0.002
1764266935.519204,$VNYMR,3,129439223,0,0,0,0.092,-0.025,-0.570,0.090,-0.490,9.750,-0.001,-0.001,-0.001
1764266935.5584288,$VNYMR,1,129478191,0,0,0,0.000,0.005,0.039,-0.255,-0.482,9.903,0.021,0.007,-0.012
1764266935.6129918,$VNYMR,2,129531525,0,0,0,0.019,-1.487,-0.898,-0.300,-0.987,10.134,-0.003,-0.010,0.004
1764266935.6706996,$VNYMR,3,129588667,0,0,0,0.096,-0.032,-0.554,0.110,-0.470,9.740,-0.002,-0.003,0.002
1764266935.7103415,$VNYMR,1,129629089,0,0,0,0.000,0.005,0.039,-0.227,-0.499,9.923,0.023,0.007,-0.011
1764266935.7644963,$VNYMR,2,129683427,0,0,0,0.009,-1.491,-0.898,-0.306,-0.979,9.966,-0.005,-0.007,0.001
1764266935.820867,$VNYMR,3,129740160,0,0,0,0.092,-0.027,-0.574,0.100,-0.490,9.790,0.001,0.002,0.002
1764266935.863081,$VNYMR,1,129783339,0,0,0,0.000,0.005,0.039,-0.212,-0.479,9.883,0.021,0.006,-0.013
1764266935.9177835,$VNYMR,2,129836160,0,0,0,0.009,-1.492,-0.898,-0.264,-0.966,10.100,-0.003,-0.011,0.002
1764266935.9752653,$VNYMR,3,129893502,0,0,0,0.099,-0.027,-0.558,0.110,-0.490,9.730,-0.002,-0.001,0.000
1764266936.0147839,$VNYMR,1,129933668,0,0,0,0.000,0.005,0.039,-0.232,-0.488,9.871,0.019,0.005,-0.011
1764266936.0677338,$VNYMR,2,129987884,0,0,0,0.056,-1.491,-0.879,-0.435,-0.975,10.073,-0.002,-0.009,0.038
1764266936.124621,$VNYMR,3,130043882,0,0,0,0.102,-0.027,-0.562,0.100,-0.480,9.760,0.002,0.001,0.002
1764266936.164085,$VNYMR,1,130083037,0,0,0,0.000,0.005,0.039,-0.284,-0.510,9.870,0.019,0.007,-0.013
1764266936.217777,$VNYMR,2,130137205,0,0,0,0.019,-1.487,-0.896,-0.255,-0.935,10.098,-0.003,-0.013,0.001
1764266936.2727306,$VNYMR,3,130193488,0,0,0,0.102,-0.032,-0.566,0.120,-0.470,9.720,0.001,0.002,0.000
1764266936.3131456,$VNYMR,1,130231961,0,0,0,0.000,0.005,0.039,-0.247,-0.513,9.883,0.023,0.008,-0.011
1764266936.3677754,$VNYMR,2,130286742,0,0,0,0.000,-1.496,-0.896,-0.290,-0.977,9.966,-0.006,-0.010,0.000
1764266936.424832,$VNYMR,3,130343399,0,0,0,0.092,-0.032,-0.558,0.110,-0.460,9.750,-0.002,0.000,0.001
1764266936.4636357,$VNYMR,1,130383244,0,0,0,0.000,0.005,0.039,-0.223,-0.489,9.891,0.021,0.008,-0.009
1764266936.5163925,$VNYMR,2,130436717,0,0,0,0.007,-1.495,-0.898,-0.284,-0.968,9.976,-0.007,-0.010,0.002
1764266936.5734608,$VNYMR,3,130492869,0,0,0,0.096,-0.036,-0.558,0.100,-0.480,9.760,0.000,0.000,-0.002
1764266936.612737,$VNYMR,1,130531831,0,0,0,0.000,1.049,-4.788,-0.242,-0.462,9.893,0.022,0.004,-0.010
1764266936.6664495,$VNYMR,2,130585797,0,0,0,0.012,-1.486,-0.898,-0.271,-0.977,10.243,-0.002,-0.010,0.001
1764266936.7230594,$VNYMR,3,130642253,0,0,0,0.102,-0.036,-0.570,0.100,-0.490,9.730,-0.001,0.000,0.000
1764266936.7633154,$VNYMR,1,130682063,0,0,0,0.000,0.005,0.039,-0.218,-0.488,9.875,0.020,0.006,-0.011
1764266936.8183818,$VNYMR,2,130736863,0,0,0,0.009,-1.495,-0.877,-0.282,-1.003,10.099,-0.006,-0.011,0.002
1764266936.8745258,$VNYMR,3,130794030,0,0,0,0.099,-0.032,-0.558,0.100,-0.490,9.770,-0.001,-0.001,0.001
1764266936.9128091,$VNYMR,1,130832976,0,0,0,0.000,0.005,0.039,-0.248,-0.489,9.877,0.020,0.007,-0.013
1764266936.966373,$VNYMR,2,130885875,0,0,0,0.000,-1.494,-0.893,-0.272,-0.997,10.113,-0.003,-0.008,0.002
1764266937.021608,$VNYMR,3,130941985,0,0,0,0.099,-0.027,-0.554,0.120,-0.460,9.770,-0.001,0.000,-0.002
1764266937.0624044,$VNYMR,1,130980503,0,0,0,0.000,0.005,0.039,-0.246,-0.489,9.873,0.021,0.008,-0.011
1764266937.1176026,$VNYMR,2,131035532,0,0,0,0.019,-1.486,-0.898,-0.289,-0.975,10.259,-0.005,-0.010,0.002
1764266937.1738052,$VNYMR,3,131093240,0,0,0,0.096,-0.032,-0.562,0.100,-0.480,9.780,-0.001,0.000,0.001
1764266937.2127879,$VNYMR,1,131132168,0,0,0,0.000,0.005,0.039,-0.240,-0.501,9.893,0.021,0.007,-0.010
1764266937.2667806,$VNYMR,2,131185860,0,0,0,0.019,-1.495,-0.898,-0.258,-0.957,9.975,-0.002,-0.007,0.003
1764266937.3225832,$VNYMR,3,131242581,0,0,0,0.096,-0.027,-0.574,0.100,-0.490,9.780,0.001,-0.001,0.001
1764266937.3625586,$VNYMR,1,131281908,0,0,0,0.000,0.005,0.039,-0.246,-0.494,9.899,0.021,0.008,-0.009
1764266937.4176967,$VNYMR,2,131336622,0,0,0,0.019,-1.492,-0.898,-0.279,-0.931,10.228,-0.003,-0.009,0.000
1764266937.4745557,$VNYMR,3,131393308,0,0,0,0.099,-0.027,-0.566,0.110,-0.460,9.750,-0.001,-0.003,0.001
1764266937.5137377,$VNYMR,1,131432947,0,0,0,0.000,0.005,0.039,-0.260,-0.341,9.884,0.021,0.006,-0.011
1764266937.568779,$VNYMR,2,131486768,0,0,0,0.000,-1.492,-0.874,-0.283,-0.951,10.079,-0.004,-0.008,0.001
1764266937.6256013,$VNYMR,3,131544439,0,0,0,0.099,-0.036,-0.561,0.100,-0.480,9.740,0.003,0.001,0.002
1764266937.665205,$VNYMR,1,131584005,0,0,0,0.000,0.005,0.039,-0.262,-0.517,9.900,0.021,0.007,-0.011
